2018-11-27 03:22:53.526064
2018-11-27 03:22:54.608228
2018-11-27 03:22:55.200080
2018-11-27 03:22:56.294687
2018-11-27 03:22:57.448382
2018-11-27 03:22:57.727579
2018-11-27 03:23:00.524647
2018-11-27 03:23:00.855942
2018-11-27 03:23:02.889164
2018-11-27 03:23:03.514742
2018-11-27 03:23:03.978476
2018-11-27 03:23:05.160832
2018-11-27 03:23:07.725633
2018-11-27 03:23:08.931879
2018-11-27 03:23:12.663362
2018-11-27 03:23:14.026379
2018-11-27 03:23:18.067965
2018-11-27 03:23:18.583576
2018-11-27 03:23:18.682743
2018-11-27 03:23:18.880285
2018-11-27 03:23:20.916092
2018-11-27 03:23:21.257373
2018-11-27 03:23:22.753762
2018-11-27 03:23:27.355345
2018-11-27 03:23:28.219348
2018-11-27 03:23:28.806132
2018-11-27 03:23:30.591266
2018-11-27 03:23:33.062282
2018-11-27 03:23:36.177664
2018-11-27 03:23:36.802308
2018-11-27 03:23:37.178466
2018-11-27 03:23:37.624757
2018-11-27 03:23:39.366853
2018-11-27 03:23:39.560942
2018-11-27 03:23:41.326702
2018-11-27 03:23:45.059837
2018-11-27 03:23:46.056175
2018-11-27 03:23:48.730595
2018-11-27 03:23:50.769562
2018-11-27 03:23:52.981307
