***snapshot_timestamp|snapshot_scalar|snapshot_name|queries_timestamp|queries_scalar|base_timestamp|cluster_min|cluster_max***
2018-11-27 16:49:33.186057|25.6775606471|rating__1|[datetime.datetime(2018, 11, 27, 16, 50, 32, 554989), datetime.datetime(2018, 11, 27, 16, 50, 33, 831580), datetime.datetime(2018, 11, 27, 16, 50, 37, 637830), datetime.datetime(2018, 11, 27, 16, 50, 37, 761441), datetime.datetime(2018, 11, 27, 16, 50, 37, 767420), datetime.datetime(2018, 11, 27, 16, 50, 37, 808279), datetime.datetime(2018, 11, 27, 16, 50, 39, 957380), datetime.datetime(2018, 11, 27, 16, 50, 48, 16760), datetime.datetime(2018, 11, 27, 16, 50, 48, 180575), datetime.datetime(2018, 11, 27, 16, 50, 49, 382695), datetime.datetime(2018, 11, 27, 16, 50, 52, 394545), datetime.datetime(2018, 11, 27, 16, 50, 58, 222549)]|[17.373047, 17.628744, 19.050245, 20.31863, 21.306268, 23.14071, 24.431364, 24.676396, 26.117034, 26.794634, 26.854027, 27.616908, 30.091177, 30.816068, 32.832693, 33.692622, 33.777964]|2018-11-27 16:49:07.069023|2018-11-27 16:50:32.554989|2018-11-27 16:50:58.222549
2018-11-27 16:49:51.119464|44.317084625|rating__2|[datetime.datetime(2018, 11, 27, 16, 49, 44, 41947), datetime.datetime(2018, 11, 27, 16, 49, 46, 974772), datetime.datetime(2018, 11, 27, 16, 49, 47, 317010), datetime.datetime(2018, 11, 27, 16, 49, 49, 687299), datetime.datetime(2018, 11, 27, 16, 49, 52, 551628), datetime.datetime(2018, 11, 27, 16, 49, 53, 492318), datetime.datetime(2018, 11, 27, 16, 49, 56, 127431), datetime.datetime(2018, 11, 27, 16, 50, 0, 896456)]|[36.972924, 39.905749, 40.247987, 42.618276, 45.482605, 46.423295, 49.058408, 53.827433]|2018-11-27 16:49:07.069023|2018-11-27 16:49:44.041947|2018-11-27 16:50:00.896456
2018-11-27 16:50:19.493398|72.5616708462|rating__3|[datetime.datetime(2018, 11, 27, 16, 50, 11, 144401), datetime.datetime(2018, 11, 27, 16, 50, 12, 266517), datetime.datetime(2018, 11, 27, 16, 50, 12, 411532), datetime.datetime(2018, 11, 27, 16, 50, 12, 585399), datetime.datetime(2018, 11, 27, 16, 50, 16, 237768), datetime.datetime(2018, 11, 27, 16, 50, 17, 104133), datetime.datetime(2018, 11, 27, 16, 50, 19, 493398), datetime.datetime(2018, 11, 27, 16, 50, 20, 109025), datetime.datetime(2018, 11, 27, 16, 50, 21, 934549), datetime.datetime(2018, 11, 27, 16, 50, 23, 652612), datetime.datetime(2018, 11, 27, 16, 50, 27, 791475), datetime.datetime(2018, 11, 27, 16, 50, 29, 665514), datetime.datetime(2018, 11, 27, 16, 50, 30, 802697)]|[64.075378, 65.197494, 65.342509, 65.516376, 69.168745, 70.03511, 72.424375, 73.040002, 74.865526, 76.583589, 80.722452, 82.596491, 83.733674]|2018-11-27 16:49:07.069023|2018-11-27 16:50:11.144401|2018-11-27 16:50:30.802697
2018-11-27 16:50:38.882829|95.7239805833|rating__4|[datetime.datetime(2018, 11, 27, 16, 49, 24, 442070), datetime.datetime(2018, 11, 27, 16, 49, 24, 697767), datetime.datetime(2018, 11, 27, 16, 49, 26, 119268), datetime.datetime(2018, 11, 27, 16, 49, 27, 387653), datetime.datetime(2018, 11, 27, 16, 49, 28, 375291), datetime.datetime(2018, 11, 27, 16, 49, 30, 209733), datetime.datetime(2018, 11, 27, 16, 49, 31, 500387), datetime.datetime(2018, 11, 27, 16, 49, 31, 745419), datetime.datetime(2018, 11, 27, 16, 49, 33, 186057), datetime.datetime(2018, 11, 27, 16, 49, 33, 863657), datetime.datetime(2018, 11, 27, 16, 49, 33, 923050), datetime.datetime(2018, 11, 27, 16, 49, 34, 685931), datetime.datetime(2018, 11, 27, 16, 49, 37, 160200), datetime.datetime(2018, 11, 27, 16, 49, 37, 885091), datetime.datetime(2018, 11, 27, 16, 49, 39, 901716), datetime.datetime(2018, 11, 27, 16, 49, 40, 761645), datetime.datetime(2018, 11, 27, 16, 49, 40, 846987)]|[85.485966, 86.762557, 90.568807, 90.692418, 90.698397, 90.739256, 92.888357, 100.947737, 101.111552, 102.313672, 105.325522, 111.153526]|2018-11-27 16:49:07.069023|2018-11-27 16:49:24.442070|2018-11-27 16:49:40.846987
